id,system_name,body_name,material_name,hotspot_count,scan_date,system_address,body_id,x_coord,y_coord,z_coord,coord_source
270,Omicron Capricorni B,Omicron Capricorni B A 8 A Ring,Benitoite,1,2023-09-06T18:46:10Z,220354045116,40,-52.65625,-69.0,105.40625,visited_systems
271,Omicron Capricorni B,Omicron Capricorni B A 8 A Ring,Musgravite,1,2023-09-06T18:46:10Z,220354045116,40,-52.65625,-69.0,105.40625,visited_systems
272,Omicron Capricorni B,Omicron Capricorni B A 8 A Ring,Monazite,2,2023-09-06T18:46:10Z,220354045116,40,-52.65625,-69.0,105.40625,visited_systems
296,HIP 99971,HIP 99971 5 A Ring,Serendibite,3,2023-09-07T12:30:30Z,1350490376563,30,-67.78125,-56.59375,104.34375,visited_systems
297,HIP 99971,HIP 99971 5 A Ring,Alexandrite,5,2023-09-07T12:30:30Z,1350490376563,30,-67.78125,-56.59375,104.34375,visited_systems
298,HIP 99971,HIP 99971 5 A Ring,Benitoite,3,2023-09-07T12:30:30Z,1350490376563,30,-67.78125,-56.59375,104.34375,visited_systems
299,HIP 99971,HIP 99971 5 A Ring,Musgravite,2,2023-09-07T12:30:30Z,1350490376563,30,-67.78125,-56.59375,104.34375,visited_systems
300,HIP 99971,HIP 99971 5 A Ring,Monazite,1,2023-09-07T12:30:30Z,1350490376563,30,-67.78125,-56.59375,104.34375,visited_systems
301,HIP 99971,HIP 99971 3 A Ring,Serendibite,3,2023-09-07T12:55:11Z,1350490376563,19,-67.78125,-56.59375,104.34375,visited_systems
302,HIP 99971,HIP 99971 3 A Ring,Rhodplumsite,2,2023-09-07T12:55:11Z,1350490376563,19,-67.78125,-56.59375,104.34375,visited_systems
303,HIP 99971,HIP 99971 3 A Ring,Painite,5,2023-09-07T12:55:11Z,1350490376563,19,-67.78125,-56.59375,104.34375,visited_systems
304,HIP 99971,HIP 99971 3 A Ring,Platinum,2,2023-09-07T12:55:11Z,1350490376563,19,-67.78125,-56.59375,104.34375,visited_systems
305,HIP 100072,HIP 100072 A 5 A Ring,Alexandrite,5,2023-09-07T13:05:42Z,285338487155,39,-75.9375,-48.34375,92.9375,visited_systems
306,HIP 100072,HIP 100072 A 5 A Ring,Benitoite,3,2023-09-07T13:05:42Z,285338487155,39,-75.9375,-48.34375,92.9375,visited_systems
307,HIP 100072,HIP 100072 A 5 A Ring,Monazite,3,2023-09-07T13:05:42Z,285338487155,39,-75.9375,-48.34375,92.9375,visited_systems
308,HIP 100072,HIP 100072 A 5 A Ring,Musgravite,1,2023-09-07T13:05:42Z,285338487155,39,-75.9375,-48.34375,92.9375,visited_systems
309,HIP 100072,HIP 100072 A 6 A Ring,Rhodplumsite,1,2023-09-07T13:06:08Z,285338487155,47,-75.9375,-48.34375,92.9375,visited_systems
454,HIP 97567,HIP 97567 2 B Ring,Bromellite,1,2023-09-11T12:53:03Z,670954235361,11,8.4375,-75.96875,136.65625,visited_systems
455,HIP 97567,HIP 97567 2 B Ring,Grandidierite,3,2023-09-11T12:53:03Z,670954235361,11,8.4375,-75.96875,136.65625,visited_systems
456,HIP 97567,HIP 97567 2 B Ring,Void Opal,1,2023-09-11T12:53:03Z,670954235361,11,8.4375,-75.96875,136.65625,visited_systems
457,HIP 97567,HIP 97567 2 A Ring,Serendibite,8,2023-09-11T12:53:03Z,670954235361,10,8.4375,-75.96875,136.65625,visited_systems
458,HIP 97567,HIP 97567 2 A Ring,Alexandrite,4,2023-09-11T12:53:03Z,670954235361,10,8.4375,-75.96875,136.65625,visited_systems
459,HIP 97567,HIP 97567 2 A Ring,Benitoite,4,2023-09-11T12:53:03Z,670954235361,10,8.4375,-75.96875,136.65625,visited_systems
460,HIP 97567,HIP 97567 2 A Ring,Monazite,9,2023-09-11T12:53:03Z,670954235361,10,8.4375,-75.96875,136.65625,visited_systems
461,HIP 97567,HIP 97567 2 A Ring,Musgravite,6,2023-09-11T12:53:03Z,670954235361,10,8.4375,-75.96875,136.65625,visited_systems
582,HIP 100338,HIP 100338 1 A Ring,Tritium,1,2023-09-13T20:01:15Z,669880559057,17,-66.6875,-64.96875,112.125,visited_systems
583,HIP 100338,HIP 100338 1 A Ring,Bromellite,2,2023-09-13T20:01:15Z,669880559057,17,-66.6875,-64.96875,112.125,visited_systems
584,HIP 100338,HIP 100338 1 A Ring,Alexandrite,2,2023-09-13T20:01:15Z,669880559057,17,-66.6875,-64.96875,112.125,visited_systems
585,HIP 100338,HIP 100338 1 A Ring,Grandidierite,1,2023-09-13T20:01:15Z,669880559057,17,-66.6875,-64.96875,112.125,visited_systems
586,HIP 100338,HIP 100338 1 A Ring,Void Opal,4,2023-09-13T20:01:15Z,669880559057,17,-66.6875,-64.96875,112.125,visited_systems
691,Zeta Pictoris,Zeta Pictoris B 1 A Ring,Painite,1,2023-09-17T09:02:08Z,903847332203,61,93.375,-66.46875,-20.875,visited_systems
708,LHS 1939,LHS 1939 3 A Ring,Alexandrite,1,2023-09-18T19:55:53Z,1762840807787,21,77.625,-14.53125,-15.375,visited_systems
709,LHS 1939,LHS 1939 3 B Ring,Serendibite,5,2023-09-18T19:55:53Z,1762840807787,22,77.625,-14.53125,-15.375,visited_systems
710,LHS 1939,LHS 1939 3 B Ring,Alexandrite,6,2023-09-18T19:55:53Z,1762840807787,22,77.625,-14.53125,-15.375,visited_systems
711,LHS 1939,LHS 1939 3 B Ring,Benitoite,5,2023-09-18T19:55:53Z,1762840807787,22,77.625,-14.53125,-15.375,visited_systems
712,LHS 1939,LHS 1939 3 B Ring,Monazite,2,2023-09-18T19:55:53Z,1762840807787,22,77.625,-14.53125,-15.375,visited_systems
713,LHS 1939,LHS 1939 3 B Ring,Musgravite,1,2023-09-18T19:55:53Z,1762840807787,22,77.625,-14.53125,-15.375,visited_systems
714,LHS 1939,LHS 1939 2 A Ring,Musgravite,1,2023-09-18T19:55:53Z,1762840807787,14,77.625,-14.53125,-15.375,visited_systems
731,LTT 2963,LTT 2963 A 5 A Ring,Benitoite,2,2023-09-19T18:54:38Z,84053856978,34,106.59375,-22.1875,-11.09375,visited_systems
732,LTT 2963,LTT 2963 A 5 A Ring,Musgravite,1,2023-09-19T18:54:38Z,84053856978,34,106.59375,-22.1875,-11.09375,visited_systems
733,LTT 2963,LTT 2963 A 6 B Ring,Serendibite,2,2023-09-19T18:57:13Z,84053856978,40,106.59375,-22.1875,-11.09375,visited_systems
734,LTT 2963,LTT 2963 A 6 B Ring,Rhodplumsite,1,2023-09-19T18:57:13Z,84053856978,40,106.59375,-22.1875,-11.09375,visited_systems
735,LTT 2963,LTT 2963 A 6 B Ring,Monazite,1,2023-09-19T18:57:13Z,84053856978,40,106.59375,-22.1875,-11.09375,visited_systems
